PITCHER_ID,PITCHER_NAME,TEAM,STRIKEOUTS,WALKS_ALLOWED,HITS_ALLOWED,HOME_RUNS_ALLOWED,EARNED_RUNS,BATTERS_FACED,PITCH_COUNT,INNINGS,K_PER_9,BB_PER_9,HR_PER_9,ERA
664208,Phil Maton,chicago cubs,14,7,13,1,9,55,237,11.0,11.454545454545455,5.7272727272727275,0.8181818181818182,7.363636363636363
628452,Raisel Iglesias,atlanta braves,14,1,7,0,0,39,152,10.666666666666666,11.8125,0.84375,0.0,0.0
681035,Christian Scott,new york mets,14,8,7,1,6,49,198,10.333333333333332,12.193548387096776,6.967741935483872,0.870967741935484,5.225806451612904
675911,Spencer Strider,atlanta braves,14,7,11,1,6,43,177,8.333333333333334,15.12,7.56,1.0799999999999998,6.4799999999999995
664141,JT Brubaker,san francisco giants,13,10,18,1,6,81,321,18.333333333333332,6.381818181818182,4.909090909090909,0.49090909090909096,2.9454545454545458
672782,Yoendrys Gómez,tampa bay rays,13,10,19,5,12,82,298,17.333333333333332,6.750000000000001,5.1923076923076925,2.5961538461538463,6.230769230769231
815083,Mitch Farris,los angeles angels,13,7,16,1,3,68,268,16.0,7.3125,3.9375,0.5625,1.6875
683232,Nick Mears,kansas city royals,13,9,10,0,7,63,266,15.333333333333334,7.630434782608695,5.282608695652174,0.0,4.108695652173913
681217,Chase Silseth,los angeles angels,13,11,12,1,3,65,259,14.333333333333332,8.162790697674419,6.906976744186047,0.627906976744186,1.8837209302325584
641401,Connor Brogdon,cleveland guardians,13,2,12,3,7,60,231,14.0,8.357142857142858,1.2857142857142858,1.9285714285714286,4.5
657756,Connor Seabold,detroit tigers,13,5,14,2,5,60,236,13.666666666666666,8.560975609756097,3.2926829268292686,1.3170731707317074,3.2926829268292686
676254,Ryan Walker,san francisco giants,13,7,14,1,7,61,240,13.666666666666666,8.560975609756097,4.609756097560976,0.6585365853658537,4.609756097560976
683618,Edgardo Henriquez,los angeles dodgers,13,8,9,1,6,58,215,13.666666666666666,8.560975609756097,5.2682926829268295,0.6585365853658537,3.951219512195122
669212,Eli Morgan,kansas city royals,13,7,18,3,8,65,234,13.333333333333334,8.775,4.725,2.025,5.3999999999999995
656234,Jake Bird,new york yankees,13,3,12,1,7,53,200,12.333333333333332,9.486486486486488,2.1891891891891895,0.7297297297297298,5.108108108108109
595014,Blake Treinen,los angeles dodgers,13,4,12,2,4,51,195,11.666666666666666,10.028571428571428,3.085714285714286,1.542857142857143,3.085714285714286
700712,Walbert Urena,los angeles angels,13,10,15,1,6,60,235,11.333333333333332,10.323529411764707,7.941176470588236,0.7941176470588236,4.764705882352942
669165,Kyle Hurt,los angeles dodgers,13,1,6,0,1,39,124,11.0,10.636363636363637,0.8181818181818182,0.0,0.8181818181818182
682243,Bryce Miller,seattle mariners,13,2,2,0,0,36,143,10.666666666666668,10.968749999999998,1.6874999999999998,0.0,0.0
542888,Shawn Armstrong,cleveland guardians,13,7,8,2,5,47,200,10.666666666666666,10.96875,5.90625,1.6875,4.21875
