DATE,PITCHER_ID,PITCHER_NAME,TEAM,OPP,INNINGS,STRIKEOUTS,PITCH_COUNT,SOURCE_SEASON,DATA_SOURCE,CURRENT_SEASON_GAMES
2026-03-31,667755,Jose Soriano,,Chicago Cubs,6.0,4,90,2026,API_2026,12
2026-04-06,667755,Jose Soriano,,Atlanta Braves,8.0,10,97,2026,API_2026,12
2026-04-12,667755,Jose Soriano,,Cincinnati Reds,7.0,10,106,2026,API_2026,12
2026-04-17,667755,Jose Soriano,,San Diego Padres,5.2,8,99,2026,API_2026,12
2026-04-22,667755,Jose Soriano,,Toronto Blue Jays,5.0,4,84,2026,API_2026,12
2026-04-28,667755,Jose Soriano,,Chicago White Sox,5.0,6,97,2026,API_2026,12
2026-05-04,667755,Jose Soriano,,Chicago White Sox,4.0,5,88,2026,API_2026,12
2026-05-10,667755,Jose Soriano,,Toronto Blue Jays,7.2,7,103,2026,API_2026,12
2026-05-16,667755,Jose Soriano,,Los Angeles Dodgers,5.1,6,92,2026,API_2026,12
2026-05-21,667755,Jose Soriano,,Athletics,6.2,7,103,2026,API_2026,12
2026-05-27,667755,Jose Soriano,,Detroit Tigers,5.0,4,105,2026,API_2026,12
2026-04-08,675660,Shane Drohan,,Boston Red Sox,2.2,2,63,2026,API_2026,11
2026-04-24,675660,Shane Drohan,,Pittsburgh Pirates,4.0,2,71,2026,API_2026,11
2026-04-28,675660,Shane Drohan,,Arizona Diamondbacks,1.0,1,10,2026,API_2026,11
2026-04-30,675660,Shane Drohan,,Arizona Diamondbacks,4.0,4,60,2026,API_2026,11
2026-05-04,675660,Shane Drohan,,St. Louis Cardinals,1.1,1,23,2026,API_2026,11
2026-05-08,675660,Shane Drohan,,New York Yankees,3.0,3,40,2026,API_2026,11
2026-05-12,675660,Shane Drohan,,San Diego Padres,0.2,2,14,2026,API_2026,11
2026-05-18,675660,Shane Drohan,,Chicago Cubs,4.1,5,42,2026,API_2026,11
2026-05-22,675660,Shane Drohan,,Los Angeles Dodgers,1.1,2,39,2026,API_2026,11
2026-05-24,675660,Shane Drohan,,Los Angeles Dodgers,3.0,5,40,2026,API_2026,11
2026-05-27,675660,Shane Drohan,,St. Louis Cardinals,2.0,1,27,2026,API_2026,11
2026-03-29,676106,Emerson Hancock,,Cleveland Guardians,6.0,9,97,2026,API_2026,11
2026-04-04,676106,Emerson Hancock,,Los Angeles Angels,6.2,5,82,2026,API_2026,11
2026-04-10,676106,Emerson Hancock,,Houston Astros,5.0,5,88,2026,API_2026,11
2026-04-15,676106,Emerson Hancock,,San Diego Padres,6.0,6,98,2026,API_2026,11
2026-04-20,676106,Emerson Hancock,,Athletics,5.0,3,85,2026,API_2026,11
2026-04-26,676106,Emerson Hancock,,St. Louis Cardinals,6.0,4,94,2026,API_2026,11
2026-05-02,676106,Emerson Hancock,,Kansas City Royals,7.0,14,103,2026,API_2026,11
2026-05-08,676106,Emerson Hancock,,Chicago White Sox,6.0,4,94,2026,API_2026,11
2026-05-15,676106,Emerson Hancock,,San Diego Padres,6.0,6,91,2026,API_2026,11
2026-05-20,676106,Emerson Hancock,,Chicago White Sox,5.0,4,86,2026,API_2026,11
2026-05-26,676106,Emerson Hancock,,Athletics,6.0,3,87,2026,API_2026,11
2026-03-26,676917,Cade Cavalli,,Chicago Cubs,3.2,5,75,2026,API_2026,12
2026-04-01,676917,Cade Cavalli,,Philadelphia Phillies,6.0,3,84,2026,API_2026,12
